cell,x,y,cell_type
C780,3163.69,11542.84,eL4
C781,3156.26,4544.39,Oligo
C782,3142.5,13352.77,Astro
C783,3145.09,15016.77,eL4
C784,3125.92,14754.55,eL2_3
C785,3127.03,7922.51,eL5
C786,3141.21,421.94,HPC
C787,3165.85,4770.61,Astro
C788,3127.94,9466.5,Astro
C789,3160.39,3782.23,Oligo
C790,3178.86,9016.38,Oligo
C791,3140.47,10282.02,eL4
C792,3172.95,50.88,Micro
C793,3179.88,654.56,HPC
C794,3191.65,5427.7,eL6
C795,3161.32,10694.73,eL4
C796,3217.69,12213.81,Astro
C797,3161.93,4189.67,Oligo
C798,3146.8,8081.77,Astro
C799,3194.15,1516.18,Micro
C800,3212.91,4904.3,Oligo
C801,3202.73,6384.12,eL6
C802,3188.44,14390.31,Astro
C803,3218.98,889.15,HPC
C804,3214.3,10400.04,eL4
C805,3216.04,15270.85,eL2_3
C806,3216.3,5234.78,eL6
C807,3222.3,493.85,HPC
C808,3232.04,2845.1,Micro
C809,3225.44,5045.26,Oligo
C810,3229.01,6724.72,eL6
C811,3227.46,11903.41,eL4
C812,3241.19,10539.12,PVALB
C813,3243.9,11679.31,eL4
C814,3237.5,734.59,HPC
C815,3193.17,4301.1,Oligo
C816,3242.94,12450.17,Astro
C817,3256.37,8700.55,Oligo
C818,3252.88,12777.11,eL6
C819,3175.7,1061.89,HPC
C820,3263.6,3068.95,Oligo
C821,3264.34,11047.14,eL4
C822,3280.02,13155.31,eL2_3
C823,3273.4,13416,eL2_3
C824,3265.21,14800.58,eL2_3
C825,3272.43,8245.07,eL5
C826,3274.36,16369.71,Endo
C827,3238.3,9756.62,Astro
C828,3285.42,6211.11,eL6
C829,3301.15,560.56,HPC
C830,3292.13,4299.59,Oligo
C831,3316.8,15372.81,eL2_3
C832,3295.98,14539.71,Endo
C833,3317.94,3878.43,Endo
C834,3323.83,5570.88,eL6
C835,3318.55,12610.42,Oligo
C836,3328.6,10280.82,SST
C837,3338.11,14936.64,eL2_3
C838,3339.54,753.92,HPC
C839,3347.28,6436.33,Micro
C840,3313.1,17140.01,Smc
C841,3348.15,435.88,HPC
C842,3375.07,4322.47,Oligo
C843,3355.96,16136.16,Astro
C844,3355.48,5230.13,eL6
C845,3368.59,10858.82,eL4
C846,3360.24,10507.01,VIP
C847,3379.06,5726.76,eL6
C848,3386.48,11348.89,eL4
C849,3396.8,9574.67,Micro
C850,3402.78,609.94,HPC
C851,3404.69,12917.74,eL2_3
C852,3436.56,16899.65,Micro
C853,3401.51,16680.73,Astro
C854,3424.15,1074.52,HPC
C855,3411.4,16555.03,Astro
C856,3407.64,2962.2,eL5
C857,3442.68,10030.41,Astro
C858,3475.78,8915.53,eL5
C859,3452.27,13159.56,eL2_3
C860,3495.13,4897.24,Astro
C861,3460.86,12524.62,eL4
C862,3463.41,13477,eL2_3
C863,3475.25,761.15,HPC
C864,3448.41,6529.69,eL6
C865,3482.06,10304.34,Astro
