cell,x,y,cell_type
C453,1942.33,2906.4,Oligo
C454,1948.53,4973.37,eL6
C455,1968.07,6822.53,eL6
C456,1960.32,11845.32,eL2_3
C457,1950.75,10003.22,eL4
C458,1958.26,10363.75,eL4
C459,1963.07,14035.66,eL2_3
C460,1952.97,16521.59,Smc
C461,1953.5,15950.62,Reln
C462,1964.78,4857.39,eL6
C463,1962.53,7572.62,PVALB
C464,1996.73,14560.77,eL2_3
C465,2015.74,6407.14,eL6
C466,1999.73,16438.61,Smc
C467,2019.57,4516.79,Oligo
C468,2048.05,6109.23,eL6
C469,2014.68,7034.33,eL6
C470,2006.16,10820.87,eL4
C471,2017.62,12418.86,eL2_3
C472,2013.2,3965.77,Oligo
C473,1988.45,11247.53,Astro
C474,2029.58,333.63,HPC
C475,2023.77,3515.81,Oligo
C476,1996.74,11051.48,eL4
C477,2039.81,10097,eL4
C478,2029.7,12664.19,Astro
C479,2009.21,93.38,HPC
C480,2033.97,2558.69,Oligo
C481,2040.95,1802.15,HPC
C482,2083.13,6658.53,eL6
C483,2064.05,13094.65,Reln
C484,2064.05,16049.49,Reln
C485,2057.28,7304.67,eL4
C486,2094.11,9801.55,Endo
C487,2079.58,5255.06,eL6
C488,2080,14962.8,VIP
C489,2046.28,2707.22,Oligo
C490,2056.94,5397.78,PVALB
C491,2071.03,12090.21,Astro
C492,2085.06,11471.35,eL4
C493,2139.15,16569.27,Smc
C494,2085.06,5106.69,Astro
C495,2088.17,10450.19,eL4
C496,2099.17,7528.23,PVALB
C497,2098.89,1306.08,HPC
C498,2107.79,8303.71,Oligo
C499,2128.17,8596,Astro
C500,2170.58,16512.01,Smc
C501,2127.65,160.75,HPC
C502,2115.54,4953.37,eL6
C503,2106.62,5655,eL6
C504,2169.83,9329.78,eL4
C505,2119.38,14538.73,eL2_3
C506,2098.9,7932.75,Astro
C507,2123.98,631.29,HPC
C508,2144.17,10753.41,eL4
C509,2149.51,11258.34,eL4
C510,2170.33,38.45,HPC
C511,2132.52,3342.77,Oligo
C512,2141.14,4034.03,Astro
C513,2141.48,5930.73,VIP
C514,2162.65,13562.21,eL2_3
C515,2153.23,7697.98,eL5
C516,2162.73,7246.46,eL4
C517,2167.31,9664.67,eL4
C518,2177.65,13325.25,eL2_3
C519,2169.61,16448.71,Endo
C520,2177.05,1161.43,Astro
C521,2204.91,8469.15,eL5
C522,2184.84,336.8,HPC
C523,2170.35,8109.77,eL5
C524,2191.41,13072.33,eL2_3
C525,2188.75,11692.12,eL4
C526,2195.49,16183.7,Astro
C527,2200.7,807.1,HPC
C528,2216.34,10525.67,eL4
C529,2213.46,11054.99,eL4
C530,2196.68,13815.02,Endo
C531,2222.88,4872.86,eL6
C532,2223.58,3603.32,Oligo
C533,2239.96,5765.49,eL6
C534,2229.11,10279.21,Astro
C535,2224.95,3457.65,Oligo
C536,2265.19,5625.97,Astro
C537,2238.21,9971.02,eL4
C538,2250.32,190.13,HPC
C539,2266.7,6490.97,eL6
C540,2260.88,12821.56,eL2_3
C541,2246.35,9809.61,eL4
C542,2231.72,15235.49,Astro
C543,2264.4,638.44,HPC
C544,2262.93,4059.32,Oligo
C545,2263.43,5036.87,eL6
C546,2236.56,12379,Oligo
C547,2343.68,12118.43,eL2_3
C548,2281.62,14543.64,eL2_3
C549,2295.34,7864.26,eL5
C550,2278.45,11441.58,eL4
C551,2344.69,12021.01,Oligo
C552,2311.22,912.6,HPC
C553,2310.24,10996.85,eL4
C554,2309.04,11898.14,eL4
C555,2306.24,13345.15,eL2_3
C556,2319.68,8085.6,eL5
C557,2334.35,11713.27,Astro
C558,2337.96,6851.59,Astro
C559,2326.61,9484.26,eL5
C560,2355.15,9010.26,Astro
C561,2332.11,10773.39,eL4
C562,2308.33,6160.39,eL6
C563,2312.09,14132.59,eL2_3
C564,2335.94,100.61,HPC
C565,2339.9,363.76,HPC
C566,2377.55,9256.35,Astro
C567,2382.44,508.09,Astro
C568,2403.56,9901.89,PVALB
C569,2385.33,11469.56,eL4
C570,2385.3,3554.78,Oligo
C571,2372.74,14310.43,PVALB
C572,2412.29,2778.02,Oligo
C573,2420.82,13925.17,eL2_3
C574,2397.66,2046.53,Oligo
C575,2402.78,10444.26,eL4
C576,2418.95,242.26,HPC
C577,2408.75,8214.04,Endo
C578,2412.78,5548.69,eL6
C579,2443.62,6426.23,eL4
C580,2414.72,10221.44,eL4
C581,2408.9,10968.04,eL4
C582,2428.02,14179.22,PVALB
C583,2441.07,56.39,HPC
C584,2380.36,16644.2,Smc
C585,2420.85,3704,Oligo
C586,2440.56,4317.34,Reln
C587,2438.07,5291.33,eL6
C588,2432.75,7618.77,eL6
C589,2449.34,11164.47,eL4
C590,2467.93,13179.72,eL2_3
C591,2468.53,3451.33,Oligo
C592,2455.6,8670.48,Astro
C593,2448.08,13629.57,eL6
C594,2462.07,14579.2,Reln
C595,2474.43,667.31,HPC
